number,values_0,values_1,params_activation_function,params_batch_size,params_n_hidden_layers,params_optimizer,user_attrs_accuracy,user_attrs_activation_function,user_attrs_auroc,user_attrs_batch_size,user_attrs_f1,user_attrs_ks_statistic,user_attrs_max_distance_at,user_attrs_n_hidden_layers,user_attrs_optimizer,user_attrs_precision,user_attrs_recall,system_attrs_nsga2:generation,params_dropout,user_attrs_dropout,params_units_per_layer,user_attrs_units_per_layer
35,0.8835913926470156,0.6028396771686553,relu,128,100,SGD,0.9507237449953804,relu,0.8835913926470156,128,0.9480547395572114,0.6028396771686553,0.6239860653877258,100,SGD,0.9480547395572114,0.9379740554334728,0,,,,
21,0.8845826110653092,0.612048278172209,tanh,32,160,SGD,0.9507237449953804,tanh,0.8845826110653092,32,0.9480547395572114,0.612048278172209,0.5183911323547363,160,SGD,0.9480547395572114,0.9379740554334728,0,,,,
40,0.8861126779770304,0.6077066425218443,softmax,128,410,rmsprop,0.9507237449953804,softmax,0.8861126779770304,128,0.9480547395572114,0.6077066425218443,0.5020540356636047,410,rmsprop,0.9480547395572114,0.9379740554334728,0,,,,
22,0.8863257494809598,0.6198159351420155,softmax,96,340,adam,0.9507237449953804,softmax,0.8863257494809598,96,0.9480547395572114,0.6198159351420155,0.5068696141242981,340,adam,0.9480547395572114,0.9379740554334728,0,,,,
38,0.890356894952446,0.6239122522246855,tanh,160,160,SGD,0.9507237449953804,tanh,0.890356894952446,160,0.9480547395572114,0.6239122522246855,0.6158874034881592,160,SGD,0.9480547395572114,0.9379740554334728,0,,,,
1,0.8970856143348994,0.6357972108990126,softmax,128,180,adam,0.9507237449953804,softmax,0.8970856143348994,128,0.9480547395572114,0.6357972108990126,0.4966865479946136,180,adam,0.9480547395572114,0.9379740554334728,0,,,,
36,0.8989774941899408,0.6430834221213297,softmax,32,90,rmsprop,0.9507237449953804,softmax,0.8989774941899408,32,0.9480547395572114,0.6430834221213297,0.5148572325706482,90,rmsprop,0.9480547395572114,0.9379740554334728,0,,,,
27,0.9009202567345728,0.6487648926782319,softmax,160,180,adam,0.9507237449953804,softmax,0.9009202567345728,160,0.9480547395572114,0.6487648926782319,0.5103272795677185,180,adam,0.9480547395572114,0.9379740554334728,0,,,,
18,0.9117328630153032,0.6826351416499227,tanh,64,50,SGD,0.9507237449953804,tanh,0.9117328630153032,64,0.9480547395572114,0.6826351416499227,0.5553234815597534,50,SGD,0.9480547395572114,0.9379740554334728,0,,,,
13,0.9126165371767648,0.6912813076921482,tanh,32,50,SGD,0.9507237449953804,tanh,0.9126165371767648,32,0.9480547395572114,0.6912813076921482,0.5904662609100342,50,SGD,0.9480547395572114,0.9379740554334728,0,,,,
